Date,Region,Home Type,Homes Sold,Avg Sale Price ($),Material Cost Index,Construction Cycle Time (Days),Supply Index,Demand Index
2023-01-31,Miami,Condo,257,221959,118.19667083945657,124,1.2533781852589416,1.1812224142261019
2023-02-28,Miami,Luxury Home,286,428576,106.77362050780552,122,0.8762595855309158,1.6945745639431233
2023-03-31,Miami,Single-Family,387,737833,143.00964133597554,122,0.5835007166986688,1.0830810137256304
2023-04-30,Miami,Condo,416,365838,134.86312643384483,150,1.2771469159274367,1.2653884380757918
2023-05-31,Miami,Condo,102,535674,147.18431082143718,140,1.058404249735805,1.5620183140152575
2023-06-30,Miami,Luxury Home,329,261087,109.84501828023082,132,0.9242220092469763,1.136197060553397
2023-07-31,Miami,Single-Family,459,793128,123.1658980101294,101,1.406354385094736,1.3842953702506609
2023-08-31,Miami,Single-Family,266,318451,124.3375481502503,156,0.6111974823061513,1.6486000796214197
2023-09-30,Miami,Condo,301,647600,148.81989502296273,154,0.9926251042908592,1.7444726860234063
2023-10-31,Miami,Townhouse,237,639792,94.5207753603677,122,0.5113536447674191,0.8617808290219418
2023-11-30,Miami,Condo,429,239353,108.34182115723091,129,0.9686606419941263,1.7192463876776438
2023-12-31,Miami,Condo,90,393075,101.45466186902075,163,0.5563032756818374,1.241327922387492
2024-01-31,Miami,Condo,206,414283,106.10849141340941,132,0.6188179162680719,0.9840688271288542
2024-02-29,Miami,Condo,64,514877,119.11679245657893,133,0.6175262467771049,1.2050493318620874
2024-03-31,Miami,Luxury Home,350,265318,112.36121202564296,118,1.1492103021160636,1.7780358328140249
2024-04-30,Miami,Single-Family,114,682690,113.68148800856834,102,1.2460448792654233,1.2418799033921566
2024-05-31,Miami,Luxury Home,394,616880,140.6527884435787,101,1.0833687650971595,1.061626771316259
2024-06-30,Miami,Luxury Home,376,791460,145.80101008864992,135,1.462172548474542,1.3967409397483985
2024-07-31,Miami,Luxury Home,58,293264,94.22496785097263,91,0.8748705795237041,0.9641601806560123
2024-08-31,Miami,Condo,393,425281,102.5351230569216,124,0.7857120862818607,0.7834496609195303
2024-09-30,Miami,Townhouse,178,594070,130.26861100944302,176,1.3685991281894603,0.8417676941017141
2024-10-31,Miami,Single-Family,185,552228,111.51880687776983,170,0.7235958385194526,0.8408504228535496
2024-11-30,Miami,Townhouse,112,631839,105.24981894418433,179,1.4632225394406113,0.8670929628635238
2024-12-31,Miami,Luxury Home,188,469536,107.71743530513632,97,0.5121544746898163,0.8527098899143511
2023-01-31,Orlando,Luxury Home,130,517824,109.35304585431604,115,1.469878826707639,1.404962219283536
2023-02-28,Orlando,Townhouse,441,457426,140.92018769548048,163,0.5431599119505761,0.9000680928390593
2023-03-31,Orlando,Townhouse,212,377789,98.19727988652173,179,1.391143113698071,1.0802340116562494
2023-04-30,Orlando,Townhouse,468,713153,132.53465981460712,123,1.0277011090863,1.6864672508966132
2023-05-31,Orlando,Luxury Home,338,325657,123.16919861447447,96,1.4929647961193004,1.2213578042891595
2023-06-30,Orlando,Luxury Home,428,435167,107.7906086188679,157,0.5737965647353989,1.4343135123731299
2023-07-31,Orlando,Single-Family,310,680671,115.1868513867766,147,1.0538542844013208,0.8895518583217927
2023-08-31,Orlando,Single-Family,280,270467,105.37241661566748,164,1.469302535619099,0.9115179206895379
2023-09-30,Orlando,Luxury Home,90,383734,126.69082265194083,118,1.0230978441701488,0.7449554778931267
2023-10-31,Orlando,Townhouse,77,309751,94.89565082401442,125,1.1293986381352625,0.885828569379381
2023-11-30,Orlando,Townhouse,184,581050,90.3110917664392,178,1.1957486889846172,1.0064493729351545
2023-12-31,Orlando,Single-Family,250,661079,127.67366489691815,110,0.9545410647677732,0.8947115327044215
2024-01-31,Orlando,Luxury Home,377,568452,101.65643721072253,125,1.1275580800840634,0.7975727871327611
2024-02-29,Orlando,Single-Family,317,306081,94.25645501999566,99,1.0843143119231002,0.8326994582106608
2024-03-31,Orlando,Single-Family,467,758986,113.8070296328333,162,1.401158010490989,1.2068566448359983
2024-04-30,Orlando,Condo,82,310078,93.04611186236382,113,0.5454463803414579,0.9269670902463717
2024-05-31,Orlando,Condo,97,222671,143.1970289370396,153,0.7809631895922303,1.100696847152883
2024-06-30,Orlando,Condo,456,618400,91.65700631242228,138,1.4504114840765587,1.2537589979403427
2024-07-31,Orlando,Townhouse,111,555528,124.73189373045352,125,1.3902637838909162,1.4594343114923019
2024-08-31,Orlando,Luxury Home,265,251663,116.30844738108522,171,0.9556567527857129,0.7432433538252088
2024-09-30,Orlando,Luxury Home,342,215708,130.32156811771196,113,1.1201325978015366,1.579351438799947
2024-10-31,Orlando,Luxury Home,148,511955,109.68916004848391,112,0.7773811829811327,1.3906904284399986
2024-11-30,Orlando,Luxury Home,221,333883,99.30249700366466,151,0.6881211597237613,0.789934935143759
2024-12-31,Orlando,Condo,409,518394,148.91045329863186,126,0.9636984049399822,1.660936486517455
2023-01-31,Tampa,Townhouse,263,312547,140.33601012416182,101,0.8533522280260528,1.7129596405849945
2023-02-28,Tampa,Townhouse,84,759042,141.62427709870053,144,1.083656111850872,0.7671857558403501
2023-03-31,Tampa,Condo,498,342483,105.01508163095184,102,0.5777346369649848,1.0045654129619241
