Date,Region,Home Type,Homes Sold,Avg Sale Price ($),Material Cost Index,Construction Cycle Time (Days),Supply Index,Demand Index
1/31/2023,Miami,Condo,257,327948,119.2045292,112,1.18803001,0.99553973
2/28/2023,Miami,Luxury Home,286,779304,144.3659273,99,1.336963874,0.724403216
3/31/2023,Miami,Single-Family,387,602690,116.0636619,158,1.366868705,1.247981705
4/30/2023,Miami,Condo,416,699046,111.0047045,123,1.338480764,1.223831766
5/31/2023,Miami,Condo,102,651269,128.7062017,141,0.926091475,1.614508639
6/30/2023,Miami,Luxury Home,329,221959,130.1354436,99,0.722576418,1.038554964
7/31/2023,Miami,Single-Family,459,428576,141.8500539,108,0.896651602,1.598024309
8/31/2023,Miami,Single-Family,266,737833,103.8111161,147,1.391896909,1.764771142
9/30/2023,Miami,Condo,301,365838,119.9516028,90,0.646604822,0.797249046
10/31/2023,Miami,Townhouse,237,535674,124.320252,158,1.013326169,1.570999623
11/30/2023,Miami,Condo,429,261087,136.1132409,93,0.733228072,1.348951487
12/31/2023,Miami,Condo,90,793128,92.61622631,105,1.081305417,1.228050564
1/31/2024,Miami,Condo,206,318451,149.6730306,113,1.363138522,1.162589357
2/29/2024,Miami,Condo,64,647600,118.1966708,169,1.380359969,1.56313509
3/31/2024,Miami,Luxury Home,350,639792,106.7736205,91,0.736685194,1.403297493
4/30/2024,Miami,Single-Family,114,239353,143.0096413,121,1.407693706,1.585549134
5/31/2024,Miami,Luxury Home,394,393075,134.8631264,173,1.091888739,1.693466165
6/30/2024,Miami,Luxury Home,376,414283,147.1843108,113,0.850218247,1.378990083
7/31/2024,Miami,Luxury Home,58,514877,109.8450183,101,1.208181196,1.778508998
8/31/2024,Miami,Condo,393,265318,123.165898,139,0.981666988,1.368896634
9/30/2024,Miami,Townhouse,178,682690,124.3375482,124,0.87798759,1.400308754
10/31/2024,Miami,Single-Family,185,,148.819895,122,1.205084364,1.310297169
11/30/2024,Miami,Townhouse,112,791460,94.52077536,122,0.748724154,0.8001023
12/31/2024,Miami,Luxury Home,188,293264,108.3418212,150,0.830252529,1.499036736
1/31/2023,Orlando,Luxury Home,130,425281,101.4546619,140,0.934451844,1.302190938
2/28/2023,Orlando,Townhouse,441,594070,106.1084914,132,0.753682174,1.196001492
3/31/2023,Orlando,Townhouse,212,552228,119.1167925,101,0.905202087,1.701518406
